VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$4,047.66,;25/07/24;25/07/24
$4,010.53,;24/07/24;24/07/24
$4,006.01,;23/07/24;23/07/24
$4,040.20,;20/07/24;22/07/24
$4,036.73,;19/07/24;19/07/24
$4,011.19,;18/07/24;18/07/24
$3,977.63,;17/07/24;17/07/24
$3,948.41,;16/07/24;16/07/24
$3,944.97,;13/07/24;15/07/24
$3,968.87,;12/07/24;12/07/24
$3,979.91,;11/07/24;11/07/24
$4,022.05,;10/07/24;10/07/24
$4,052.99,;9/07/24;9/07/24
$4,093.72,;6/07/24;8/07/24
$4,096.09,;4/07/24;5/07/24
$4,130.03,;3/07/24;3/07/24
$4,148.04,;29/06/24;2/07/24
$4,158.10,;28/06/24;28/06/24
$4,133.61,;27/06/24;27/06/24
$4,093.66,;26/06/24;26/06/24
$4,104.38,;25/06/24;25/06/24
$4,143.72,;22/06/24;24/06/24
$4,175.96,;21/06/24;21/06/24
$4,101.87,;19/06/24;20/06/24
$4,144.63,;18/06/24;18/06/24
$4,151.55,;15/06/24;17/06/24
$4,107.52,;14/06/24;14/06/24
$4,023.26,;13/06/24;13/06/24
$3,960.83,;12/06/24;12/06/24
$3,944.14,;8/06/24;11/06/24
$3,938.53,;7/06/24;7/06/24
$3,927.91,;6/06/24;6/06/24
$3,909.65,;5/06/24;5/06/24
$3,860.92,;1/06/24;4/06/24
$3,874.32,;31/05/24;31/05/24
$3,867.02,;30/05/24;30/05/24
$3,853.09,;29/05/24;29/05/24
$3,878.07,;25/05/24;28/05/24
$3,837.58,;24/05/24;24/05/24
$3,829.59,;23/05/24;23/05/24
$3,814.94,;22/05/24;22/05/24
$3,822.39,;21/05/24;21/05/24
$3,832.26,;18/05/24;20/05/24
$3,828.98,;17/05/24;17/05/24
$3,825.42,;16/05/24;16/05/24
$3,861.82,;15/05/24;15/05/24
$3,888.21,;11/05/24;14/05/24
$3,900.38,;10/05/24;10/05/24
$3,902.63,;9/05/24;9/05/24
$3,884.84,;8/05/24;8/05/24
$3,894.23,;7/05/24;7/05/24
$3,895.41,;4/05/24;6/05/24
$3,898.62,;3/05/24;3/05/24
$3,899.07,;1/05/24;2/05/24
$3,873.44,;30/04/24;30/04/24
$3,926.02,;27/04/24;29/04/24
$3,964.59,;26/04/24;26/04/24
$3,935.65,;25/04/24;25/04/24
$3,910.01,;24/04/24;24/04/24
$3,924.82,;23/04/24;23/04/24
$3,937.13,;20/04/24;22/04/24
$3,918.23,;19/04/24;19/04/24
$3,901.94,;18/04/24;18/04/24
$3,938.11,;17/04/24;17/04/24
$3,889.58,;16/04/24;16/04/24
$3,864.97,;13/04/24;15/04/24
$3,820.10,;12/04/24;12/04/24
$3,815.44,;11/04/24;11/04/24
$3,763.43,;10/04/24;10/04/24
$3,768.80,;9/04/24;9/04/24
$3,764.23,;6/04/24;8/04/24
$3,775.37,;5/04/24;5/04/24
$3,812.13,;4/04/24;4/04/24
$3,845.22,;3/04/24;3/04/24
$3,863.05,;2/04/24;2/04/24
$3,842.30,;28/03/24;1/04/24
$3,865.97,;27/03/24;27/03/24
$3,901.51,;23/03/24;26/03/24
$3,888.02,;22/03/24;22/03/24
$3,886.94,;21/03/24;21/03/24
$3,894.37,;20/03/24;20/03/24
$3,880.59,;19/03/24;19/03/24
$3,884.64,;16/03/24;18/03/24
$3,899.39,;15/03/24;15/03/24
$3,908.02,;14/03/24;14/03/24
$3,919.86,;13/03/24;13/03/24
$3,907.81,;12/03/24;12/03/24
$3,905.45,;9/03/24;11/03/24
$3,920.79,;8/03/24;8/03/24
$3,932.55,;7/03/24;7/03/24
$3,945.32,;6/03/24;6/03/24
$3,948.67,;5/03/24;5/03/24
$3,934.82,;2/03/24;4/03/24
$3,931.31,;1/03/24;1/03/24
$3,933.56,;29/02/24;29/02/24
$3,935.59,;28/02/24;28/02/24
$3,963.08,;27/02/24;27/02/24
$3,949.36,;24/02/24;26/02/24
$3,935.64,;23/02/24;23/02/24
$3,930.26,;22/02/24;22/02/24
$3,912.97,;21/02/24;21/02/24
$3,917.84,;17/02/24;20/02/24
$3,909.89,;16/02/24;16/02/24
$3,916.61,;15/02/24;15/02/24
$3,929.00,;14/02/24;14/02/24
$3,915.28,;13/02/24;13/02/24
$3,926.08,;10/02/24;12/02/24
$3,954.68,;9/02/24;9/02/24
$3,962.23,;8/02/24;8/02/24
$3,950.57,;7/02/24;7/02/24
$3,975.74,;6/02/24;6/02/24
$3,928.11,;3/02/24;5/02/24
$3,889.05,;2/02/24;2/02/24
$3,915.56,;1/02/24;1/02/24
$3,925.60,;31/01/24;31/01/24
$3,918.93,;30/01/24;30/01/24
$3,925.26,;27/01/24;29/01/24
$3,932.96,;26/01/24;26/01/24
$3,929.95,;25/01/24;25/01/24
$3,934.62,;24/01/24;24/01/24
$3,904.49,;23/01/24;23/01/24
$3,916.39,;20/01/24;22/01/24
$3,939.89,;19/01/24;19/01/24
$3,969.50,;18/01/24;18/01/24
$3,940.85,;17/01/24;17/01/24
$3,901.38,;13/01/24;16/01/24
$3,929.79,;12/01/24;12/01/24
$3,946.39,;11/01/24;11/01/24
$3,934.13,;10/01/24;10/01/24
$3,912.93,;6/01/24;9/01/24
$3,927.64,;5/01/24;5/01/24
$3,914.60,;4/01/24;4/01/24
$3,895.53,;3/01/24;3/01/24
$3,822.05,;29/12/23;2/01/24
$3,844.81,;28/12/23;28/12/23
$3,871.45,;27/12/23;27/12/23
$3,915.43,;23/12/23;26/12/23
$3,943.03,;22/12/23;22/12/23
$3,948.54,;21/12/23;21/12/23
$3,925.77,;20/12/23;20/12/23
$3,932.59,;19/12/23;19/12/23
$3,956.76,;16/12/23;18/12/23
$3,955.88,;15/12/23;15/12/23
$3,999.43,;14/12/23;14/12/23
$3,990.88,;13/12/23;13/12/23
$3,982.50,;12/12/23;12/12/23
$3,998.51,;8/12/23;11/12/23
$3,989.55,;7/12/23;7/12/23
$4,023.21,;6/12/23;6/12/23
$3,999.91,;5/12/23;5/12/23
$3,983.15,;2/12/23;4/12/23
$4,045.22,;1/12/23;1/12/23
$3,980.67,;30/11/23;30/11/23
$3,957.77,;29/11/23;29/11/23
$3,989.89,;28/11/23;28/11/23
$4,044.51,;25/11/23;27/11/23
$4,092.33,;23/11/23;24/11/23
$4,060.15,;22/11/23;22/11/23
$4,033.83,;21/11/23;21/11/23
$4,116.59,;18/11/23;20/11/23
$4,077.44,;17/11/23;17/11/23
$3,976.84,;16/11/23;16/11/23
$3,963.57,;15/11/23;15/11/23
$4,037.19,;11/11/23;14/11/23
$4,056.94,;10/11/23;10/11/23
$4,065.79,;9/11/23;9/11/23
$4,005.06,;8/11/23;8/11/23
$3,975.09,;4/11/23;7/11/23
$4,047.11,;3/11/23;3/11/23
$4,117.71,;2/11/23;2/11/23
$4,114.29,;1/11/23;1/11/23
$4,060.83,;31/10/23;31/10/23
$4,120.62,;28/10/23;30/10/23
$4,154.94,;27/10/23;27/10/23
$4,201.53,;26/10/23;26/10/23
$4,213.97,;25/10/23;25/10/23
$4,221.39,;24/10/23;24/10/23
$4,238.85,;21/10/23;23/10/23
$4,249.71,;20/10/23;20/10/23
$4,227.39,;19/10/23;19/10/23
$4,222.09,;18/10/23;18/10/23
$4,249.00,;14/10/23;17/10/23
$4,230.61,;13/10/23;13/10/23
$4,212.50,;12/10/23;12/10/23
$4,231.97,;11/10/23;11/10/23
$4,386.66,;7/10/23;10/10/23
$4,359.40,;6/10/23;6/10/23
$4,252.09,;5/10/23;5/10/23
$4,187.01,;4/10/23;4/10/23
$4,141.43,;3/10/23;3/10/23
$4,053.76,;30/09/23;2/10/23
$4,085.57,;29/09/23;29/09/23
$4,093.60,;28/09/23;28/09/23
$4,068.73,;27/09/23;27/09/23
$4,052.54,;26/09/23;26/09/23
$3,948.70,;23/09/23;25/09/23
$3,948.25,;22/09/23;22/09/23
$3,907.21,;21/09/23;21/09/23
$3,902.54,;20/09/23;20/09/23
$3,905.95,;19/09/23;19/09/23
$3,928.28,;16/09/23;18/09/23
$3,926.59,;15/09/23;15/09/23
$3,950.92,;14/09/23;14/09/23
$3,993.53,;13/09/23;13/09/23
$3,997.74,;12/09/23;12/09/23
$4,012.26,;9/09/23;11/09/23
$4,045.83,;8/09/23;8/09/23
$4,093.04,;7/09/23;7/09/23
$4,089.46,;6/09/23;6/09/23
$4,063.36,;2/09/23;5/09/23
$4,099.20,;1/09/23;1/09/23
$4,085.33,;31/08/23;31/08/23
$4,110.08,;30/08/23;30/08/23
$4,111.52,;29/08/23;29/08/23
$4,117.78,;26/08/23;28/08/23
$4,076.90,;25/08/23;25/08/23
$4,085.89,;24/08/23;24/08/23
$4,120.07,;23/08/23;23/08/23
$4,124.04,;19/08/23;22/08/23
$4,093.96,;18/08/23;18/08/23
$4,130.33,;17/08/23;17/08/23
$4,096.08,;16/08/23;16/08/23
$4,029.95,;15/08/23;15/08/23
$3,973.41,;12/08/23;14/08/23
$3,955.23,;11/08/23;11/08/23
$4,031.65,;10/08/23;10/08/23
$4,076.46,;9/08/23;9/08/23
$4,077.90,;5/08/23;8/08/23
$4,144.79,;4/08/23;4/08/23
$4,056.99,;3/08/23;3/08/23
$4,007.44,;2/08/23;2/08/23
$3,898.48,;1/08/23;1/08/23
$3,923.49,;29/07/23;31/07/23
$3,932.04,;28/07/23;28/07/23
$3,951.10,;27/07/23;27/07/23
$3,978.83,;26/07/23;26/07/23
$3,950.58,;25/07/23;25/07/23
$3,971.38,;22/07/23;24/07/23
$3,980.20,;20/07/23;21/07/23
$3,991.15,;19/07/23;19/07/23
$4,069.39,;18/07/23;18/07/23
$4,089.30,;15/07/23;17/07/23
$4,102.13,;14/07/23;14/07/23
$4,128.67,;13/07/23;13/07/23
$4,193.59,;12/07/23;12/07/23
$4,154.06,;11/07/23;11/07/23
$4,189.96,;8/07/23;10/07/23
$4,195.93,;7/07/23;7/07/23
$4,128.08,;6/07/23;6/07/23
$4,177.58,;1/07/23;5/07/23
$4,191.28,;30/06/23;30/06/23
$4,169.60,;29/06/23;29/06/23
$4,152.48,;28/06/23;28/06/23
$4,172.33,;27/06/23;27/06/23
$4,168.88,;24/06/23;26/06/23
$4,114.39,;23/06/23;23/06/23
$4,158.21,;22/06/23;22/06/23
$4,149.18,;21/06/23;21/06/23
$4,145.72,;17/06/23;20/06/23
$4,164.66,;16/06/23;16/06/23
$4,182.33,;15/06/23;15/06/23
$4,186.30,;14/06/23;14/06/23
$4,173.66,;10/06/23;13/06/23
$4,179.98,;9/06/23;9/06/23
$4,209.14,;8/06/23;8/06/23
$4,245.00,;7/06/23;7/06/23
$4,307.02,;6/06/23;6/06/23
$4,355.80,;3/06/23;5/06/23
$4,410.49,;2/06/23;2/06/23
$4,434.09,;1/06/23;1/06/23
$4,408.65,;31/05/23;31/05/23
$4,461.66,;27/05/23;30/05/23
$4,470.83,;26/05/23;26/05/23
$4,448.93,;25/05/23;25/05/23
$4,501.81,;24/05/23;24/05/23
$4,528.67,;20/05/23;23/05/23
$4,521.64,;19/05/23;19/05/23
$4,528.30,;18/05/23;18/05/23
$4,531.58,;17/05/23;17/05/23
$4,506.49,;16/05/23;16/05/23
$4,564.44,;13/05/23;15/05/23
$4,601.15,;12/05/23;12/05/23
$4,545.39,;11/05/23;11/05/23
$4,540.34,;10/05/23;10/05/23
$4,490.58,;9/05/23;9/05/23
$4,552.56,;6/05/23;8/05/23
$4,616.58,;5/05/23;5/05/23
$4,667.09,;4/05/23;4/05/23
